record_id,raw_scientific_name,normalized_scientific_name,raw_synonym,raw_family,normalized_family,canonical_scientific_name,canonical_family,reconciliation_status,confidence,source_page_url,scrape_timestamp
0a5aba6125233f77,Mallotus philippensis (Lam.) Muell.-Arg.,mallotus philippensis (lam.) muell.-arg.,Croton philippensis Lam. Echinus philippensis (Lam.) Baill. Mappa stricta Rchb.f. & Zoll. Rottlera t,Euphorbiaceae,euphorbiaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=7,2026-09-22T15:47:56.155281+00:00
59aef376e5ccec1c,Phyllanthus niruri L.,phyllanthus niruri l.,Diasperus niruri (L.) Kuntze Nymphanthus niruri (L.)Lour. Phyllanthus humilis Salisb. Urinaria erect,Euphorbiaceae,euphorbiaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=7,2026-09-22T15:47:56.155281+00:00
20b94a468a0bf244,Vitis vinifera L.,vitis vinifera l.,Cissus vinifera (L.) Kuntze Vitis sylvestris C.C.Gmel. Vitis vinifera subsp.sativaHegi Vitis vinifer,Vitaceae,vitaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=7,2026-09-22T15:47:56.155281+00:00
f49980c45af4517f,Sapindus saponaria L.,sapindus saponaria l.,Sapindus abruptus Lour. Sapindus indica Poir. Sapindus rigidus Mill. Sapindus stenopterus DC. Sap,Sapindaceae,sapindaceae,,,POTENTIAL_DUPLICATE,MEDIUM,https://mpbd.cu.ac.bd/plants.php?pageno=7,2026-09-22T15:47:56.155281+00:00
48805e3cdf9c30d2,Schleichera oleosa (Lour.)Merr.,schleichera oleosa (lour.)merr.,Pistacia oleosa Lour. Schleichera oleosa(Lour.) Oken,Sapindaceae,sapindaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=7,2026-09-22T15:47:56.155281+00:00
ff19907bf099efa0,Commiphora mukul (HOOK. EX STOCKS) ENGL.,commiphora mukul (hook. ex stocks) engl.,Balsamea mukul Baill. Balsamodendrum mukul Hook.ex Stocks Balsamodendrum roxburghii Stocks Balsamod,Burseraceae,burseraceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=7,2026-09-22T15:47:56.155281+00:00
0a2e2643491a7379,Semecarpus anacardium L. F.,semecarpus anacardium l. f.,,Anacardiaceae,anacardiaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=7,2026-09-22T15:47:56.155281+00:00
eb8832d6a9513723,Citrus limon (L.) Osbeck,citrus limon (l.) osbeck,Citrus bergamia Risso & Poit. Citrus limonia Osbeck Citrus vulgaris Ferrarius ex Mill. Limon vu,Rutaceae,rutaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=7,2026-09-22T15:47:56.155281+00:00
447c4b34e0e7b846,Citrus medica L.,citrus medica l.,Aurantium medicum (L.) M. Gómez Citrus alata( Tanaka) Tanaka Citrus odorata Roussel Citrus tuberos,Rutaceae,rutaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=7,2026-09-22T15:47:56.155281+00:00
f5ba1c12d90cdc90,Citrus reticulata Blanco,citrus reticulata blanco,Citrus crenatifolia Lush. Citrus deliciosa Ten. Citrus papillaris Blanco Citrus succosa Tanaka,Rutaceae,rutaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=7,2026-09-22T15:47:56.155281+00:00
f020b43b17f1b1d6,Murraya koenigii (L.)Spreng.,murraya koenigii (l.)spreng.,Bergera koenigii L.,Rutaceae,rutaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=8,2026-09-22T15:47:57.682413+00:00
16739aae3ef0684e,Peganum harmala L.,peganum harmala l.,Harmala multifida All. Harmala peganum Crantz Peganon harmalum (L.) St.-Lag. Peganum dauricum L.,Zygophyllaceae,zygophyllaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=8,2026-09-22T15:47:57.682413+00:00
963cadb27cdebd99,Anethum sowa Roxb.ex Fleming,anethum sowa roxb.ex fleming,Anethum graveolens subsp.sowa(Roxb. ex Fleming) N.F.Koren',Apiaceae,apiaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=8,2026-09-22T15:47:57.682413+00:00
79713d9f33861c4a,Carum carvi L.,carum carvi l.,Bunium carvi (L.)M.Bieb. Foeniculum carvi(L.) Link Ligusticum carvi(L.) Roth Pimpinella carvi(L.) Je,Apiaceae,apiaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=8,2026-09-22T15:47:57.682413+00:00
21159428a52a18d0,Ferula foetida (Bunge) Regel,ferula foetida (bunge) regel,Ferula scorodosma Bentley & Trimen Scorodosma foetidum Bunge,Apiaceae,apiaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=8,2026-09-22T15:47:57.682413+00:00
bb8bef09df11310e,Trachyspermum roxburghianum (DC.) H.Wolff,trachyspermum roxburghianum (dc.) h.wolff,Apium involucratum Roxb. Pimpinella involucrata(Roxb.)Wight & Arn. Ptychotis roxburghiana DC. Trachy,Apiaceae,apiaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=8,2026-09-22T15:47:57.682413+00:00
11609584a30dead6,Strychnos potatorum L. f.,strychnos potatorum l. f.,Strychnos heterodoxa Gilg Strychnos stuhlmannii Gilg,Loganiaceae,loganiaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=8,2026-09-22T15:47:57.682413+00:00
1bd6ead94b9786b0,Holarrhena pubescens Wall.ex G.Don,holarrhena pubescens wall.ex g.don,Chonemorpha pubescens (Wall.) G.Don Echites adglutinatus Burm.f. Holarrhena codaga G.Don Holarrhena,Apocynaceae,apocynaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=8,2026-09-22T15:47:57.682413+00:00
155b907ecac6890d,Tabernamontana divaricata (L.)R.Br. ex Roem.& Schult.,tabernamontana divaricata (l.)r.br. ex roem.& schult.,Ervatamia divaricata (L.) Burkill Nerium divaricatum L. Taberna discolor (Sw.) Miers Tabernaemonta,Apocynaceae,apocynaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=8,2026-09-22T15:47:57.682413+00:00
bd1932c44d19c93b,Wrightia tinctoria R. Brown,wrightia tinctoria r. brown,Allamanda verticillata Desf. Nerium tinctorium Roxb. Wrightia laciniataA. DC. Wrightia timorensis,Apocynacea,apocynacea,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=8,2026-09-22T15:47:57.682413+00:00
9b14eadca8a90463,Gymnema sylvestre (Retz.)R.Br. ex Sm.,gymnema sylvestre (retz.)r.br. ex sm.,Asclepias geminata Roxb. Marsdenia sylvestris (Retz.)P.I. Forst. Periploca sylvestris Retz. Str,Asclepiadaceae,asclepiadaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=9,2026-09-22T15:47:59.212004+00:00
