plant_index,term_raw,term_light
155,diuretic,diuretic
155,galactagogue,galactagogue
155,styptic,styptic
155,piles,piles
155,asthma,asthma
155,leucoderma,leucoderma
155,scabies,scabies
155,gonorrhoea,gonorrhoea
155,pains,pains
155,epistaxis,epistaxis
155,paralysis,paralysis
155,rheumatism,rheumatism
155,liver and cough.,liver and cough
156,Tonic,tonic
156,refrigerant,refrigerant
156,stomachic,stomachic
156,astringent,astringent
156,stimulant,stimulant
156,diuretic,diuretic
156,antispasmodic,antispasmodic
156,emmenagogue,emmenagogue
156,fevers,fevers
156,inflammations,inflammations
156,stomach,stomach
156,cholera and  headache.,cholera and headache
157,Tonic,tonic
157,stomachic,stomachic
157,astringent,astringent
157,diaphoretic,diaphoretic
157,piles,piles
157,malaria,malaria
157,amoebiasis,amoebiasis
157,eczema,eczema
157,ringworm,ringworm
157,elephantiasis,elephantiasis
157,guineaworms,guineaworms
157,diarrhoea,diarrhoea
157,dropsy,dropsy
157,cough,cough
157,stomachache,stomachache
157,colic,colic
157,conjunctivitis,conjunctivitis
