plant_index,source_query,bmpdd_query_name,parser_status,rows_extracted,rows_with_cid,rows_missing_cid
365,Mussaenda GLABRATA Hutch.,Mussaenda GLABRATA,ZERO_RESULTS,0,0,0
366,Musa PARADISIACA L.,Musa PARADISIACA,ZERO_RESULTS,0,0,0
367,Musa ORNATA Roxb.,Musa ORNATA,ZERO_RESULTS,0,0,0
368,Murraya PANICULATA (L.) Jacq.,Murraya PANICULATA,PASS,69,69,0
369,Murraya KOENIGII (L.) Spreng.,Murraya KOENIGII,ZERO_RESULTS,0,0,0
370,Murdania NUDIFLORA (L.) Breman.,Murdania NUDIFLORA,ZERO_RESULTS,0,0,0
371,Mucuna PRURIENS (L.) DC.,Mucuna PRURIENS,ZERO_RESULTS,0,0,0
372,Mucuna MONOSPERMA DC.,Mucuna MONOSPERMA,ZERO_RESULTS,0,0,0
373,Morus INDICA L.,Morus INDICA,ZERO_RESULTS,0,0,0
374,Moringa OLEIFERA Lamk.,Moringa OLEIFERA,PASS,272,235,37
375,Morinda CITRIFOLIA L.,Morinda CITRIFOLIA,ZERO_RESULTS,0,0,0
376,Morinda ANGUSTIFOLIA Roxb.,Morinda ANGUSTIFOLIA,ZERO_RESULTS,0,0,0
377,Monochoria VAGINALIS (Burm. f.) Presl.,Monochoria VAGINALIS,ZERO_RESULTS,0,0,0
378,Monochoria HASTATA (L.) Solms.,Monochoria HASTATA,ZERO_RESULTS,0,0,0
379,Momordica DIOICA Roxb.,Momordica DIOICA,ZERO_RESULTS,0,0,0
380,Momordica COCHINCHINENSIS Spreng.,Momordica COCHINCHINENSIS,ZERO_RESULTS,0,0,0
