sampled_tier,inchikey_connectivity,bmppd_name,pubchem_title_cid,pubchem_title_name,formula_cid,formula_name,layer_cid,layer_name,plants,my_judgement,notes
LOW,DTWUHAOZSGPUHQ,Lawsonicin,"(2S,3R)-3-(hydroxymethyl)-2-[4-(3-hydroxypropyl)-3-methoxyphenyl]-6-methoxy-2,3-dihydro-1-benzofuran-5-ol",,C20H24O6,,DTWUHAOZSGPUHQ,,442 (Lawsonia INERMIS L.),,
LOW,IIOLXIVFODJEDX,1-Triacontanol,3-Cyclohexen-1-yl acetate,1-Triacontanol,C8H12O2,C30H62O,IIOLXIVFODJEDX,REZQBEBOWJAQKS,901 (Chenopodium ALBUM L.),,
LOW,TWXWPPKDQOWNSX,Flavylium,Dicyclohexyl ketone,Anthocyanins,C13H22O,C15H11O+,TWXWPPKDQOWNSX,NWKFECICNXDNOQ,843 (Bougainvillea spectabilis Willd),,
LOW,MKMCJLMBVKHUMS,beta-Sitosterol,Coixol,(-)-beta-Sitosterol,C8H7NO3,C29H50O,MKMCJLMBVKHUMS,KZJWDPNRJALLNS,637 (Cucurbita MAXIMA Duch.),,
LOW,AEDDIBAIWPIIBD,Lycopene,Mangiferin,Lycopene,C19H18O11,C40H56,AEDDIBAIWPIIBD,OAIJSZIZWZSQBC,626 (Cuscuta REFLEXA Roxb.),,
LOW,DUGOZIWVEXMGBE,Piperidineacetic Acid,Focalin,,C14H19NO2,,DUGOZIWVEXMGBE,,70 (Citrus reticulata Blanco),,
LOW,OMIDXVJKZCPKEI,Corodane,"4,7-Methano-5H-inden-5-one, octahydro-",,C10H14O,,OMIDXVJKZCPKEI,,447 (Lantana CAMARA L.),,
LOW,YHHSONZFOIEMCP,Choline phosphate,"N,N,N-trimethyl-2-(phosphonooxy)ethanaminium",,C5H15NO4P+,,YHHSONZFOIEMCP,,619 (Cyperus ROTUNDUS L.),,
LOW,YLRXAIKMLINXQY,Berberine | Pyridoxine | beta-Sitosterol,(+)-Magnoflorine,Berberine,C20H24NO4+,C20H18NO4+,YLRXAIKMLINXQY,YBHILYKTIRIUTE,717 (Anamirta COCCULUS (L.) W. & A.); 731 (Areca CATECHU L.),,
LOW,KTLUHRSHFRODPS,Leucopelargonidin | Procyanidin B2 | beta-Carotene,"Procyanidin B2 3,3'-di-O-gallate","3,4,4',5,7-Flavanpentol",C44H34O20,C15H14O6,KTLUHRSHFRODPS,FSVMLWOLZHGCQX,731 (Areca CATECHU L.),,
LOW,SVYKBKUULVTNPZ,Palmitic acid-methyl ester,"13-Hydroxy-palmitic acid, methyl ester, tBDMS ether",Methyl Palmitate,C23H48O3Si,C17H34O2,SVYKBKUULVTNPZ,FLIACVVOZYBSBS,356 (Nigella SATIVA L),,
LOW,RNKMOGIPOMVCHO,Tri-O-galloyl glucose,"1,3,6-Tri-O-Galloyl-Beta-D-Glucose",Trigalloylglucose,C27H24O18,C27H24O18,RNKMOGIPOMVCHO,UHDJFCOJSFPKML,192 (Terminalia CHEBULA Retz.),,
LOW,IZEUIYYDWBKERE,"6,10,14-Trimethylpentadecan-2-one | Stigmast-5-en-3-yl acetate | Syringic acid",Stigmasterol acetate,Npc155187,C31H50O2,C31H52O2,IZEUIYYDWBKERE,PBWOIPCULUXTNY,21 (Benincasa hispida (Thunb.) Cogn.); 623 (Cynodon DACTYLON (L.)Pers.); 765 (Benincasa HISPIDA (Thunb.) Cogn.),,
LOW,PHNMOKYFOUVECQ,alpha-Amyrin,1-Cyclopropyl-6-fluoro-7-[4-(2-hydroxyethyl)piperazin-1-yl]-4-oxo-quinoline-3-carboxylic acid,Alpha-Amyrin,C19H22FN3O4,C30H50O,PHNMOKYFOUVECQ,FSLPMRQHCOLESF,675 (Cocos NUCIFERA L.),,
LOW,ZYLPVUZBZNMVMR,20-Hydroxyecdysone,"2-[[(2R)-3-hexadecoxy-2-[(11Z,14Z)-icosa-11,14-dienoyl]oxypropoxy]-hydroxyphosphoryl]oxyethyl-trimethylazanium",20-Hydroxyecdysone,C44H87NO7P+,C27H44O7,ZYLPVUZBZNMVMR,LAFYUFZYMDYGLR,9 (Boerhavia diffusa L.),,
LOW,PIMZUZSSNYHVCU,(-)-8-Oxotetrahydropalmatine | Picrotin,Picrotoxinin,8-Oxypalmatine,C15H16O6,C15H18O7,PIMZUZSSNYHVCU,RYEFFICCPKWYML,717 (Anamirta COCCULUS (L.) W. & A.),,
HIGH,FWGYRFWKBWPRJD,"4-Methyl-2,3- dihydrofuran","2,3-Dihydro-4-methylfuran",,C5H8O,,FWGYRFWKBWPRJD,FWGYRFWKBWPRJD,92 (Abelmoschus MOSCHATUS Medik.),,
