scientific_name,synonym,family,source_page_url,scrape_timestamp
Acanthus ILICIFOLIUS L.,Acanthus doloarin Blanco. Acanthus ilicifolius subsp. orientalisbremek. Acanthus neoguineensis Eng,Acanthaceae,https://mpbd.cu.ac.bd/plants.php?pageno=11,2026-09-22T15:48:02.271804+00:00
Achyranthes ASPERA L.,Stachyarpagophora aspera (L.) M.Gómez Achyranthes australis R.Br. Achyranthes canescens R.Br. Ach,Amaranthaceae,https://mpbd.cu.ac.bd/plants.php?pageno=11,2026-09-22T15:48:02.271804+00:00
Acorus CALAMUS L.,Calamus aromaticus Garsault Acorus angustatus Raf. Acorus angustifolius Schott Acorus belangeri,Acoraceae,https://mpbd.cu.ac.bd/plants.php?pageno=11,2026-09-22T15:48:02.271804+00:00
Acronychia PEDUNCULATA (L.) Miq.,Acronychia laurifolia Bl. Cyminosma pedunculata DC. Acronychia apiculata Miq. Clausena simplicifo,Rutaceae,https://mpbd.cu.ac.bd/plants.php?pageno=11,2026-09-22T15:48:02.271804+00:00
Actinodaphne gullavara (Buch.-Ham. ex Nees) M.R.Almeida,Actinodaphne angustifolia Nees. Jozoste angustifolia Kuntze Laurus gullavara Buch.-Ham. ex Nees,Lauraceae,https://mpbd.cu.ac.bd/plants.php?pageno=11,2026-09-22T15:48:02.271804+00:00
Adenanthera PAVONINA L.,Adenanthera pavonina var. Pavonina Adenanthera gersenii Scheff. Adenanthera polita Miq. Corallar,Mimosaceae,https://mpbd.cu.ac.bd/plants.php?pageno=11,2026-09-22T15:48:02.271804+00:00
Justicia adhatoda L.,Adhatoda zeylanica Medic. Adhatoda arborea Raf. Dianthera latifolia Salisb. Ecbolium adhatoda (L.,Acanthaceae,https://mpbd.cu.ac.bd/plants.php?pageno=12,2026-09-22T15:48:03.797371+00:00
Adiantum capillus-veneris L,Adiantum capillus Sw. Adiantum africanum R. Br. Adiantum coriandrifolium Lam. Adiantum fontanum,Adiantaceae,https://mpbd.cu.ac.bd/plants.php?pageno=12,2026-09-22T15:48:03.797371+00:00
Adiantum INCISUM Forssk.,Adiantum caudatum L. Adiantum capillus-gorgonis Webb Adiantum caudatum var. glabripinnatumbonap.,Adiantaceae,https://mpbd.cu.ac.bd/plants.php?pageno=12,2026-09-22T15:48:03.797371+00:00
Adiantum LUNULATUM Burm. F.,Adiantum philippense L. Adiantum lunatum Cav. Adiantum lunulatum var. mettenii Bedd. Pteris lunu,Adiantaceae,https://mpbd.cu.ac.bd/plants.php?pageno=12,2026-09-22T15:48:03.797371+00:00
Haldina cordifolia (Roxb.) Ridsdale,Adina cordifolia Benth & Hook. Nauclea cordifolia Roxb. Nauclea sterculiifolia A.Rich. Ex Dc.,Rubiaceae,https://mpbd.cu.ac.bd/plants.php?pageno=12,2026-09-22T15:48:03.797371+00:00
Aegle MARMELOS (L.) Corr.,Aegle marmelos var. mahurensis Zate Belou marmelos (L.) Lyons Crateva marmelos L. Feronia pelluci,Rutaceae,https://mpbd.cu.ac.bd/plants.php?pageno=12,2026-09-22T15:48:03.797371+00:00
Aganosma DICHOTOMA (Roth) K. Schum.,Aganosma caryophyllata G. Don. Aganosma blumei Wight.,Apocynaceae,https://mpbd.cu.ac.bd/plants.php?pageno=12,2026-09-22T15:48:03.797371+00:00
Ageratum CONYZOIDES L.,Ageratum arsenei B.L.Rob Ageratum ciliare L. Ageratum cordifolium Roxb. Ageratum hirsutum Poir.,Asteraceae,https://mpbd.cu.ac.bd/plants.php?pageno=12,2026-09-22T15:48:03.797371+00:00
Alangium SALVIFOLIUM (L. f.) Wang.,Alangium lamarkii Thw. Alangium decapetalum Lam. Alangium salviifolium subsp. Salviifolium Alang,Alangiaceae,https://mpbd.cu.ac.bd/plants.php?pageno=12,2026-09-22T15:48:03.797371+00:00
Albizia CHINENSIS (Osbeck) Merr.,Albizia stipulata (Roxb.) Boiv. Albizia chinensis var. Chinensis Acacia stipulacea Roxb. Albizia,Mimosaceae,https://mpbd.cu.ac.bd/plants.php?pageno=12,2026-09-22T15:48:03.797371+00:00
